H1	H2	H3	Angle
3az2G_2	3az2H_10	3az2H_12	 77.106 
3az2G_2	3az2H_10	3az2H_10	 90.000 
3az2G_2	3az2H_10	3az2H_4	 24.001 
3az2G_2	3az2H_10	3az2H_8	 43.288 
3az2G_2	3az2H_10	3az2H_3	 44.212 
3az2G_2	3az2H_4	3az2H_9	 100.987 
3az2G_2	3az2H_4	3az2G_2	 0.000 
3az2G_2	3az2H_4	3az2G_5	 138.137 
3az2G_2	3az2H_4	3az2H_6	 168.188 
3az2G_2	3az2H_4	3az2H_14	 124.757 
3az2G_2	3az2H_4	3az2G_13	 81.962 
3az2G_2	3az2H_4	3az2H_1	 109.393 
3az2G_2	3az2H_4	3az2H_11	 132.757 
3az2G_2	3az2H_4	3az2G_7	 32.712 
3az2G_2	3az2H_4	3az2H_12	 131.225 
3az2G_2	3az2H_4	3az2H_10	 119.576 
3az2G_2	3az2H_4	3az2H_4	 90.000 
3az2G_2	3az2H_4	3az2H_8	 74.730 
3az2G_2	3az2H_4	3az2H_3	 79.193 
3az2G_2	3az2H_8	3az2H_9	 101.109 
3az2G_2	3az2H_8	3az2G_2	 0.000 
3az2G_2	3az2H_8	3az2G_5	 55.145 
3az2G_2	3az2H_8	3az2H_6	 63.190 
3az2G_2	3az2H_8	3az2H_14	 58.305 
3az2G_2	3az2H_8	3az2G_13	 62.629 
3az2G_2	3az2H_8	3az2H_1	 52.120 
3az2G_2	3az2H_8	3az2H_11	 72.187 
3az2G_2	3az2H_8	3az2G_7	 32.301 
3az2G_2	3az2H_8	3az2H_12	 91.886 
3az2G_2	3az2H_8	3az2H_10	 64.044 
3az2G_2	3az2H_8	3az2H_4	 36.273 
3az2G_2	3az2H_8	3az2H_8	 90.000 
3az2G_2	3az2H_8	3az2H_3	 106.297 
3az2G_2	3az2H_3	3az2H_9	 62.344 
3az2G_2	3az2H_3	3az2G_2	 0.000 
3az2G_2	3az2H_3	3az2G_5	 43.803 
3az2G_2	3az2H_3	3az2H_6	 48.260 
3az2G_2	3az2H_3	3az2H_14	 48.042 
3az2G_2	3az2H_3	3az2G_13	 49.086 
3az2G_2	3az2H_3	3az2H_1	 35.059 
3az2G_2	3az2H_3	3az2H_11	 51.615 
3az2G_2	3az2H_3	3az2G_7	 24.332 
3az2G_2	3az2H_3	3az2H_12	 64.670 
3az2G_2	3az2H_3	3az2H_10	 43.850 
3az2G_2	3az2H_3	3az2H_4	 27.155 
3az2G_2	3az2H_3	3az2H_8	 46.651 
3az2G_2	3az2H_3	3az2H_3	 90.000 
3az2G_5	3az2H_9	3az2H_9	 90.000 
3az2G_5	3az2H_9	3az2G_2	 62.702 
3az2G_5	3az2H_9	3az2G_5	 0.000 
3az2G_5	3az2H_9	3az2H_6	 16.081 
3az2G_5	3az2H_9	3az2H_14	 44.212 
3az2G_5	3az2H_9	3az2G_13	 70.527 
3az2G_5	3az2H_9	3az2H_1	 26.984 
3az2G_5	3az2H_9	3az2H_11	 31.043 
3az2G_5	3az2H_9	3az2G_7	 86.564 
3az2G_5	3az2H_9	3az2H_12	 40.527 
3az2G_5	3az2H_9	3az2H_10	 24.245 
3az2G_5	3az2H_9	3az2H_4	 38.426 
3az2G_5	3az2H_9	3az2H_8	 102.200 
3az2G_5	3az2H_9	3az2H_3	 101.703 
3az2G_5	3az2G_2	3az2H_9	 69.116 
3az2G_5	3az2G_2	3az2G_2	 90.000 
3az2G_5	3az2G_2	3az2G_5	 0.000 
3az2G_5	3az2G_2	3az2H_6	 26.349 
3az2G_5	3az2G_2	3az2H_14	 47.168 
3az2G_5	3az2G_2	3az2G_13	 83.611 
3az2G_5	3az2G_2	3az2H_1	 28.380 
3az2G_5	3az2G_2	3az2H_11	 27.520 
3az2G_5	3az2G_2	3az2G_7	 126.077 
3az2G_5	3az2G_2	3az2H_12	 50.967 
3az2G_5	3az2G_2	3az2H_10	 33.387 
3az2G_5	3az2G_2	3az2H_4	 26.622 
3az2G_5	3az2G_2	3az2H_8	 93.048 
3az2G_5	3az2G_2	3az2H_3	 100.266 
3az2G_5	3az2G_5	3az2H_9	 90.000 
3az2G_5	3az2G_5	3az2G_2	 90.000 
3az2G_5	3az2G_5	3az2G_5	 90.000 
3az2G_5	3az2G_5	3az2H_6	 90.000 
3az2G_5	3az2G_5	3az2H_14	 90.000 
3az2G_5	3az2G_5	3az2G_13	 90.000 
3az2G_5	3az2G_5	3az2H_1	 90.000 
3az2G_5	3az2G_5	3az2H_11	 90.000 
3az2G_5	3az2G_5	3az2G_7	 90.000 
3az2G_5	3az2G_5	3az2H_12	 90.000 
3az2G_5	3az2G_5	3az2H_10	 90.000 
3az2G_5	3az2G_5	3az2H_4	 90.000 
3az2G_5	3az2G_5	3az2H_8	 90.000 
3az2G_5	3az2G_5	3az2H_3	 90.000 
3az2G_5	3az2H_6	3az2H_9	 141.325 
3az2G_5	3az2H_6	3az2G_2	 107.760 
3az2G_5	3az2H_6	3az2G_5	 0.000 
3az2G_5	3az2H_6	3az2H_6	 90.000 
3az2G_5	3az2H_6	3az2H_14	 119.024 
3az2G_5	3az2H_6	3az2G_13	 133.315 
3az2G_5	3az2H_6	3az2H_1	 48.486 
3az2G_5	3az2H_6	3az2H_11	 58.179 
3az2G_5	3az2H_6	3az2G_7	 124.115 
3az2G_5	3az2H_6	3az2H_12	 143.661 
3az2G_5	3az2H_6	3az2H_10	 75.150 
3az2G_5	3az2H_6	3az2H_4	 107.340 
3az2G_5	3az2H_6	3az2H_8	 154.579 
3az2G_5	3az2H_6	3az2H_3	 160.030 
3az2G_5	3az2H_14	3az2H_9	 87.695 
3az2G_5	3az2H_14	3az2G_2	 91.886 
3az2G_5	3az2H_14	3az2G_5	 0.000 
3az2G_5	3az2H_14	3az2H_6	 33.738 
3az2G_5	3az2H_14	3az2H_14	 90.000 
3az2G_5	3az2H_14	3az2G_13	 161.671 
3az2G_5	3az2H_14	3az2H_1	 29.516 
3az2G_5	3az2H_14	3az2H_11	 32.028 
3az2G_5	3az2H_14	3az2G_7	 103.022 
3az2G_5	3az2H_14	3az2H_12	 76.198 
3az2G_5	3az2H_14	3az2H_10	 42.395 
3az2G_5	3az2H_14	3az2H_4	 65.917 
3az2G_5	3az2H_14	3az2H_8	 116.156 
3az2G_5	3az2H_14	3az2H_3	 147.462 
3az2G_5	3az2G_13	3az2H_9	 61.407 
3az2G_5	3az2G_13	3az2G_2	 61.677 
3az2G_5	3az2G_13	3az2G_5	 0.000 
3az2G_5	3az2G_13	3az2H_6	 17.480 
3az2G_5	3az2G_13	3az2H_14	 11.793 
3az2G_5	3az2G_13	3az2G_13	 90.000 
3az2G_5	3az2G_13	3az2H_1	 21.775 
3az2G_5	3az2G_13	3az2H_11	 22.907 
3az2G_5	3az2G_13	3az2G_7	 79.691 
3az2G_5	3az2G_13	3az2H_12	 46.543 
3az2G_5	3az2G_13	3az2H_10	 28.627 
3az2G_5	3az2G_13	3az2H_4	 26.924 
3az2G_5	3az2G_13	3az2H_8	 83.466 
3az2G_5	3az2G_13	3az2H_3	 120.270 
3az2G_5	3az2H_1	3az2H_9	 89.218 
3az2G_5	3az2H_1	3az2G_2	 85.043 
3az2G_5	3az2H_1	3az2G_5	 0.000 
3az2G_5	3az2H_1	3az2H_6	 47.007 
3az2G_5	3az2H_1	3az2H_14	 49.260 
3az2G_5	3az2H_1	3az2G_13	 61.378 
3az2G_5	3az2H_1	3az2H_1	 90.000 
3az2G_5	3az2H_1	3az2H_11	 73.578 
3az2G_5	3az2H_1	3az2G_7	 97.121 
3az2G_5	3az2H_1	3az2H_12	 68.664 
3az2G_5	3az2H_1	3az2H_10	 82.519 
3az2G_5	3az2H_1	3az2H_4	 65.321 
3az2G_5	3az2H_1	3az2H_8	 84.825 
3az2G_5	3az2H_1	3az2H_3	 74.154 
3az2G_5	3az2H_11	3az2H_9	 93.759 
3az2G_5	3az2H_11	3az2G_2	 58.255 
3az2G_5	3az2H_11	3az2G_5	 0.000 
3az2G_5	3az2H_11	3az2H_6	 46.787 
3az2G_5	3az2H_11	3az2H_14	 45.739 
3az2G_5	3az2H_11	3az2G_13	 53.974 
3az2G_5	3az2H_11	3az2H_1	 57.380 
3az2G_5	3az2H_11	3az2H_11	 90.000 
3az2G_5	3az2H_11	3az2G_7	 73.503 
3az2G_5	3az2H_11	3az2H_12	 79.917 
3az2G_5	3az2H_11	3az2H_10	 72.668 
3az2G_5	3az2H_11	3az2H_4	 50.584 
3az2G_5	3az2H_11	3az2H_8	 79.029 
3az2G_5	3az2H_11	3az2H_3	 71.955 
3az2G_5	3az2G_7	3az2H_9	 57.859 
3az2G_5	3az2G_7	3az2G_2	 40.698 
3az2G_5	3az2G_7	3az2G_5	 0.000 
3az2G_5	3az2G_7	3az2H_6	 18.138 
3az2G_5	3az2G_7	3az2H_14	 35.223 
3az2G_5	3az2G_7	3az2G_13	 63.653 
3az2G_5	3az2G_7	3az2H_1	 22.455 
3az2G_5	3az2G_7	3az2H_11	 24.855 
3az2G_5	3az2G_7	3az2G_7	 90.000 
3az2G_5	3az2G_7	3az2H_12	 41.409 
3az2G_5	3az2G_7	3az2H_10	 24.559 
3az2G_5	3az2G_7	3az2H_4	 15.501 
